colname,coef,sigma,z_score,p_values,lower_0.025,upper_0.975,significant
mean radius,1.0780524498745723,8.084784976024997,0.13334336696294088,0.893921831926172,-14.767834925884946,16.92393982563409,
mean texture,0.2252566858107659,0.21887117005379592,1.0291747686796782,0.3033975565148068,-0.2037229247488157,0.6542362963703475,
mean perimeter,-0.3882275236414342,1.1081123582008399,-0.35035032392542803,0.7260758024290819,-2.560087836538828,1.7836327892559596,
mean area,0.025765989603310717,0.028496085083016234,0.9041940157129632,0.36589253282506895,-0.03008531085979018,0.08161729006641161,
mean smoothness,-0.13678952795201677,74.5421742324046,-0.0018350622229711176,0.9985358330059312,-146.23676635277468,145.96318729687067,
mean compactness,-0.2430473026268581,46.832950474697256,-0.005189664545225927,0.9958592653704306,-92.03394352278151,91.54784891752779,
mean concavity,-0.518212474231162,37.710614236940394,-0.013741820034411791,0.9890359590288605,-74.42965821351775,73.39323326505543,
mean concave points,-0.277048865623977,72.58243690413816,-0.00381702347621483,0.9969544632955177,-142.53601110788568,141.98191337663772,
mean symmetry,-0.2193896673821535,24.072630218146603,-0.009113655857047627,0.9927284553601992,-47.40087790810008,46.96209857333577,
mean fractal dimension,-0.03846588394721636,167.610087768137,-0.00022949623414330556,0.999816888499622,-328.54820135509317,328.4712695871988,
radius error,-0.12070688404330863,22.8561631512515,-0.005281152538355908,0.9957862695136357,-44.917963485267755,44.67654971718114,
texture error,1.3394586282643308,1.62144701594221,0.8260884352647083,0.40875392744150474,-1.838519125822344,4.517436382351006,
perimeter error,0.4095831291866206,1.8079151719525672,0.22654997067382676,0.8207736983469743,-3.13386549494395,3.953031753317191,
area error,-0.14105927506759897,0.21910660947494823,-0.6437928796653992,0.5197097516121356,-0.57050033841318,0.2883817882779821,
smoothness error,-0.01822829907135938,268.2056468952958,-6.796388995670731e-05,0.9999457726615532,-525.691636664118,525.6551800659754,
compactness error,0.005354649935098883,99.83769023337545,5.363355184381899e-05,0.9999572066170633,-195.6729225071471,195.6836318070173,
concavity error,-0.06738616286673368,71.38510020456405,-0.0009439807841360333,0.9992468124185041,-139.97961159659513,139.84483927086166,
concave points error,-0.035416064480640004,288.77385419106895,-0.0001226429053968534,0.9999021451195371,-566.0217699557967,565.9509378268355,
symmetry error,-0.044981737425662464,91.50458694324121,-0.0004915790445954791,0.9996077766856999,-179.3906765663925,179.30071309154116,
fractal dimension error,0.0005725940322454059,560.4517402554703,1.0216651874154245e-06,0.9999991848291206,-1098.4646533794867,1098.4657985675512,
worst radius,0.05931509640632929,2.6001689675219506,0.022812016121728656,0.9818002230405386,-5.036922433655392,5.15555262646805,
worst texture,-0.49895806328786646,0.21725379036620945,-2.2966598762065686,0.02163818004549975,-0.924767667910452,-0.07314845866528097,*
worst perimeter,-0.05525520764861728,0.23967065105191993,-0.23054640777292054,0.8176672063378813,-0.5250010518616471,0.4144906365644126,
worst area,-0.011602216616619282,0.02659398946310527,-0.43627213708253226,0.6626392950025053,-0.0637254781695433,0.04052104493630474,
worst smoothness,-0.2744445896379967,45.86049300059198,-0.005984335790599855,0.9952252193653301,-90.1593591840495,89.61047000477352,
worst compactness,-0.7340556350796422,13.000586885391435,-0.05646326904706814,0.9549727558768965,-26.21473770833061,24.746626438171326,
worst concavity,-1.350140985383566,10.777331220438477,-0.12527600365692718,0.9003050488134786,-22.473322026902085,19.773040056134956,
worst concave points,-0.49987124360215185,37.61276511901663,-0.013289936063472825,0.9893964773384212,-74.21953623583914,73.21979374863483,
worst symmetry,-0.7182036107375248,13.928692391195954,-0.051562888357810734,0.9588769907821787,-28.01793904921868,26.58153182774363,
worst fractal dimension,-0.10071549792907082,88.97036187198982,-0.0011320117824627919,0.9990967854690301,-174.47942045852474,174.27798946266662,
